Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Colombia,"COL","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","46.932","46.511","47.497","45.586","42.457","40.887","39.341","39.043","42.807","42.631","43.106","44.265","43.284","42.723","42.457","42.121","41.462","40","39.312","39.092"
Comoros,"COM","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","16.015","15.922","15.764","15.419","15.066","14.717","14.367","14.016","13.663","13.314","12.973","12.641","12.349","12.091","13.387","14.63","15.749","16.774","17.807","18.863"
"Congo, Dem. Rep.","COD","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","50.46","50.501","50.556","50.58","50.565","48.901","47.241","45.59","43.949","42.319","40.706","39.114","39.8","40.492","41.203","41.853","42.482","43.231","44.054","44.318"
"Congo, Rep.","COG","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","44.747","44.72","44.607","44.331","44.032","43.745","43.631","43.622","43.453","43.33","43.55","43.824","44.219","44.512","44.771","44.983","45.061","45.046","44.936","41.617"
Costa Rica,"CRI","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","37.47","35.847","35.977","32.912","36.734","37.369","38.997","38.174","36.587","33.978","33.988","38.795","40.285","38.693","37.639","33.079","32.927","35.72","38.704","37.554"
Cote d'Ivoire,"CIV","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","42.744","43.412","44.085","44.765","45.452","46.148","46.852","47.613","48.429","49.252","50.076","50.897","48.791","46.62","44.411","42.215","41.226","40.254","39.303","36.691"
Croatia,"HRV","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","36.072","35.594","33.617","34.658","32.896","31.62","31.473","29.872","29.953","30.746","26.908","25.165","24.278","27.706","27.812","32.248","30.674","28.875","27.529","25.554"
Cuba,"CUB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","26.601","26.734","27.205","27.963","29.22","30.545","31.381","31.81","35.86","34.84","34.972","35.107","35.121","34.889","34.967","34.754","34.78","34.973","34.987","32.376"
Curacao,"CUW","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Cyprus,"CYP","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","42.137","38.828","40.18","38.296","39.413","38.555","39.825","40.592","38.869","40.297","36.612","35.614","36.357","39.587","38.98","38.494","40.068","41.881","40.061","36.742"
